repo,license,sas_files,code_lines,rule_id,feature,occurrences,files_using,per_1000_lines
Boemska_macrocore,LICENSE,76,9085,MC-003,%DO %WHILE loops,2,2,0.2
Boemska_macrocore,LICENSE,76,9085,MC-003,%DO loops (all variants),425,58,46.8
Boemska_macrocore,LICENSE,76,9085,INFO,%IF/%THEN macro conditionals,436,59,48.0
Boemska_macrocore,LICENSE,76,9085,MC-001,%LET statements,457,59,50.3
Boemska_macrocore,LICENSE,76,9085,MC-002,%MACRO definitions,160,76,17.6
Boemska_macrocore,LICENSE,76,9085,MC-004,%SYSFUNC calls,220,41,24.2
Boemska_macrocore,LICENSE,76,9085,MC-004,CALL EXECUTE,18,6,2.0
Boemska_macrocore,LICENSE,76,9085,MC-009,PROC DATASETS statements,2,2,0.2
Boemska_macrocore,LICENSE,76,9085,MC-008,SYSCC references,16,4,1.8
Boemska_macrocore,LICENSE,76,9085,INFO,macro variable refs (&var),2860,74,314.8
CausalInference_GFORMULA-SAS,LICENSE,11,11567,MC-003,%DO %UNTIL loops,1,1,0.1
CausalInference_GFORMULA-SAS,LICENSE,11,11567,MC-003,%DO %WHILE loops,1,1,0.1
CausalInference_GFORMULA-SAS,LICENSE,11,11567,MC-003,%DO loops (all variants),1114,5,96.3
CausalInference_GFORMULA-SAS,LICENSE,11,11567,INFO,%IF/%THEN macro conditionals,1376,4,119.0
CausalInference_GFORMULA-SAS,LICENSE,11,11567,MC-005,%INCLUDE statements,9,9,0.8
CausalInference_GFORMULA-SAS,LICENSE,11,11567,MC-001,%LET statements,808,11,69.9
CausalInference_GFORMULA-SAS,LICENSE,11,11567,MC-002,%MACRO definitions,42,10,3.6
CausalInference_GFORMULA-SAS,LICENSE,11,11567,MC-004,%SYSFUNC calls,34,1,2.9
CausalInference_GFORMULA-SAS,LICENSE,11,11567,MC-007,ODS statements,15,5,1.3
CausalInference_GFORMULA-SAS,LICENSE,11,11567,MC-009,PROC DATASETS statements,46,5,4.0
CausalInference_GFORMULA-SAS,LICENSE,11,11567,INFO,macro variable refs (&var),10788,10,932.7
HHS-AHRQ_MEPS,no license file in clone,58,7115,MC-001,%LET statements,23,11,3.2
HHS-AHRQ_MEPS,no license file in clone,58,7115,MC-002,%MACRO definitions,2,2,0.3
HHS-AHRQ_MEPS,no license file in clone,58,7115,MC-004,%SYSFUNC calls,1,1,0.1
HHS-AHRQ_MEPS,no license file in clone,58,7115,MC-007,ODS statements,94,32,13.2
HHS-AHRQ_MEPS,no license file in clone,58,7115,MC-009,PROC DATASETS statements,12,10,1.7
HHS-AHRQ_MEPS,no license file in clone,58,7115,INFO,macro variable refs (&var),219,13,30.8
PaulSchmidtGit_Heritability,no license file in clone,11,1310,MC-005,%INCLUDE statements,8,8,6.1
PaulSchmidtGit_Heritability,no license file in clone,11,1310,MC-001,%LET statements,1,1,0.8
PaulSchmidtGit_Heritability,no license file in clone,11,1310,MC-002,%MACRO definitions,8,6,6.1
PaulSchmidtGit_Heritability,no license file in clone,11,1310,MC-004,%SYSFUNC calls,8,8,6.1
PaulSchmidtGit_Heritability,no license file in clone,11,1310,MC-007,ODS statements,18,6,13.7
PaulSchmidtGit_Heritability,no license file in clone,11,1310,MC-009,PROC DATASETS statements,6,6,4.6
PaulSchmidtGit_Heritability,no license file in clone,11,1310,INFO,macro variable refs (&var),77,6,58.8
RhoInc_sas-statistical-data-checks,LICENSE,14,6358,MC-003,%DO loops (all variants),426,14,67.0
RhoInc_sas-statistical-data-checks,LICENSE,14,6358,INFO,%IF/%THEN macro conditionals,566,14,89.0
RhoInc_sas-statistical-data-checks,LICENSE,14,6358,MC-001,%LET statements,340,14,53.5
RhoInc_sas-statistical-data-checks,LICENSE,14,6358,MC-002,%MACRO definitions,27,14,4.2
RhoInc_sas-statistical-data-checks,LICENSE,14,6358,MC-004,%SYSFUNC calls,221,13,34.8
RhoInc_sas-statistical-data-checks,LICENSE,14,6358,MC-007,ODS statements,102,7,16.0
RhoInc_sas-statistical-data-checks,LICENSE,14,6358,INFO,macro variable refs (&var),2876,14,452.3
atorus-research_atorus-sas-macros,LICENSE,31,4180,MC-003,%DO loops (all variants),354,31,84.7
atorus-research_atorus-sas-macros,LICENSE,31,4180,INFO,%IF/%THEN macro conditionals,296,31,70.8
atorus-research_atorus-sas-macros,LICENSE,31,4180,MC-005,%INCLUDE statements,1,1,0.2
atorus-research_atorus-sas-macros,LICENSE,31,4180,MC-001,%LET statements,291,31,69.6
atorus-research_atorus-sas-macros,LICENSE,31,4180,MC-002,%MACRO definitions,32,31,7.7
atorus-research_atorus-sas-macros,LICENSE,31,4180,MC-004,%SYSFUNC calls,138,29,33.0
atorus-research_atorus-sas-macros,LICENSE,31,4180,MC-007,ODS statements,7,2,1.7
atorus-research_atorus-sas-macros,LICENSE,31,4180,MC-009,PROC DATASETS statements,22,19,5.3
atorus-research_atorus-sas-macros,LICENSE,31,4180,INFO,macro variable refs (&var),2046,31,489.5
cdisc-org_COSMoS,LICENSE,31,4502,MC-003,%DO %WHILE loops,1,1,0.2
cdisc-org_COSMoS,LICENSE,31,4502,MC-003,%DO loops (all variants),125,18,27.8
cdisc-org_COSMoS,LICENSE,31,4502,INFO,%IF/%THEN macro conditionals,147,21,32.7
cdisc-org_COSMoS,LICENSE,31,4502,MC-005,%INCLUDE statements,14,13,3.1
cdisc-org_COSMoS,LICENSE,31,4502,MC-001,%LET statements,153,20,34.0
cdisc-org_COSMoS,LICENSE,31,4502,MC-002,%MACRO definitions,24,21,5.3
cdisc-org_COSMoS,LICENSE,31,4502,MC-004,%SYSFUNC calls,116,14,25.8
